Record.ID,Citation,Identifiers,Links
6,[],['PMC6548351'],"['https://scholarlykitchen.sspnet.org/2021/06/16/whats-wrong-with-paying-for-peer-review/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC6548351/']"
16,"['(Coalition S, 2022)']",[],[]
24,[],[],['https://acsopenscience.org/researchers/oa-pricing/']
42,[],[],['https://www.theguardian.com/science/2017/jun/27/profitable-business-scientific-publishing-bad-forscience']
52,[],[],"['relx.com', 'openapc.net', 'coalition-s.org', 'https://arxiv.org/pdf/2407.16551', 'http://mendelity.com/', 'https://www.thetimes.com/business-money/companies/article/relx-profit-rises-11-percent-as-ai-andlive-events-boost-business-h3x8tqjkr?utm_source=chatgpt.com&region=global']"
57,[],"['10.3389/fnhum.2018.00037/full', '10.3389/fnhum.2013.00291/full', '10.1098/rsos.230206']","['https://royalsocietypublishing.org/doi/10.1098/rsos.230206', 'https://f1000research.com/articles/10-20/v2', 'https://bjoern.brembs.net/2016/07/peer-review-is-not-free-its-a-subsidy-for-publishers/', 'https://bjoern.brembs.net/2023/02/how-about-paying-extra-for-peer-review/', 'https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2018.00037/full', 'https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2013.00291/full']"
78,[],"['10.31274/jlsc.18184', '10.7910/DVN/CR1MMV']","['https://arxiv.org/abs/2407.16551)', 'https://doi.org/10.7910/DVN/CR1MMV)', 'https://doi.org/10.31274/jlsc.18184)']"
115,[],[],['https://www.amecera.org/journals/hci/our-articles']
140,"['Ginther et al. (Science, 2011)', '(Science, 2011)']",[],[]
144,[],[],"['https://www.sciencedirect.com/journal/molecular-genetics-andmetabolism)', 'https://onlinelibrary.wiley.com/page/journal/15732665/homepage/fundedaccess']"
159,[],[],"['https://jamanetwork.com/journals/jamanetworkopen/pages/instructions-forauthors#SecOpenAccessDepositinginRepositoriesandDiscoverability', 'https://link.springer.com/journal/11606/how-to-publish-withus#Fees%20and%20funding']"
