Record.ID,Citation,Links
6,[],"['https://pmc.ncbi.nlm.nih.gov/articles/PMC6548351/', 'https://scholarlykitchen.sspnet.org/2021/06/16/whats-wrong-with-paying-for-peer-review/']"
16,"['(Coalition S, 2022)']",[]
24,[],['https://acsopenscience.org/researchers/oa-pricing/.']
42,[],['https://www.theguardian.com/science/2017/jun/27/profitable-business-scientific-publishing-bad-forscience']
52,[],"['openapc.net', 'http://mendelity.com/', 'https://arxiv.org/pdf/2407.16551', 'relx.com', 'https://www.thetimes.com/business-money/companies/article/relx-profit-rises-11-percent-as-ai-andlive-events-boost-business-h3x8tqjkr?utm_source=chatgpt.com&region=global', 's.org']"
57,[],"['https://f1000research.com/articles/10-20/v2', 'https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2018.00037/full', 'https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2013.00291/full', 'https://bjoern.brembs.net/2016/07/peer-review-is-not-free-its-a-subsidy-for-publishers/', 'https://bjoern.brembs.net/2023/02/how-about-paying-extra-for-peer-review/', 'https://royalsocietypublishing.org/doi/10.1098/rsos.230206', 'https://royalsocietypublishing.org/doi/10.1098/rsos.230206']"
78,[],"['https://doi.org/10.7910/DVN/CR1MMV', 'https://arxiv.org/abs/2407.16551', 'https://doi.org/10.31274/jlsc.18184']"
115,[],['https://www.amecera.org/journals/hci/our-articles']
140,"['(Science, 2011)']",[]
144,[],"['https://onlinelibrary.wiley.com/page/journal/15732665/homepage/fundedaccess', 'https://www.sciencedirect.com/journal/molecular-genetics-andmetabolism']"
159,[],"['https://link.springer.com/journal/11606/how-to-publish-withus#Fees%20and%20funding', 'https://jamanetwork.com/journals/jamanetworkopen/pages/instructions-forauthors#SecOpenAccessDepositinginRepositoriesandDiscoverability']"
166,[],"['https://www.arcadiascience.com/', 'research.arcadiascience.com']"
193,[],"['https://www.nature.com/nature/for-authors/publishing-options', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC11484459/']"
203,[],['research.arcadiascience.com']
218,[],"['https://www.nature.com/ni/submission-guidelines/publishingoptions#:~:text=GOLD%20OA%20FUND,and%20the%20Nature%20research%20journals.', 'https://www.nature.com/nri/for-authors/preparing-your-submission#publishingmodel', 'https://www.nature.com/ni/submission-guidelines/publishingoptions#:~:text=GOLD%20OA%20FUND,and%20the%20Nature%20research%20journals.', 'https://www.nature.com/nri/for-authors/preparingyour-submission#publishingmodel']"
222,[],['https://jane.biosemantics.org/']
229,[],['https://www.deltathink.com/news-views-open-access-charges-price-increases-back-on-trend']
265,"['(Grossmann & Brembs, 2021)', 'Grossmann and Brembs (2021)', 'Rodrigues et al. (2020)']",['https://direct.mit.edu/qss/article/4/4/778/118070/The-oligopoly-s-shift-to-open-access-How-the-big']
289,"['Cell (2021)', 'Nature Microbiology (2023)', 'Cell Host & Microbe (2020)', 'EMBO Reports (2023)', 'Journal of Virology (2022)', 'PLoS Genetics (2021)', 'PNAS (2021)', 'Frontiers in Pharmacology (2022)']",[]
330,[],"['https://implementationscience.biomedcentral.com/submission-guidelines/fees-and-funding', 'https://implementationsciencecomms.biomedcentral.com/submission-guidelines/fees-andfunding#:~:text=Article%20processing%20charges%20', 'https://us.sagepub.com/en-us/nam/implementation-research-and-practice/journal203691']"
343,[],"['https://www.nature.com/nature-index/faq#journals', 'https://www.whitehouse.gov/fact-sheets/2025/05/fact-sheetpresident-donald-j-trump-is-restoring-gold-standard-science-in-america']"
346,[],"['https://journals.lww.com/ccmjournal/fulltext/2025/06000/effect_of_monetary_incentives_on_peer_re', 'https://www.biorxiv.org/content/10.1101/2025.03.18.644032v1']"
